gene,comparison_experiment_count,sample,pearson_r,voxel_count,pearson_r_brain,voxel_count_brain,pearson_r_atlas_regions,atlas_region_count,pearson_r_real_data,voxel_count_real_data,pearson_r_interpolated_only,voxel_count_interpolated_only,reference_experiment_ids,comparison_experiment_ids,excluded_experiment_id,seed
Cacna2d1,1,17,0.56976354,1295040,0.4377317,511377,0.83979964,698,0.41416985,60388,0.44121814,450989,"[72119649, 75042246, 78544955, 78544957, 78544961, 78544965, 78544979, 78557703, 78557705, 78557709, 79707516, 79707530, 80409515, 80409517, 80409521]",[80409519],78544983.0,20260812
Cacna2d1,1,18,0.5858099,1295040,0.45910037,511377,0.83750594,698,0.45365018,59582,0.4598213,451795,"[78544953, 78544955, 78544957, 78544959, 78544979, 78557703, 78557705, 78557707, 78557709, 79707530, 79707760, 80409515, 80409517, 80409519, 80409521]",[79707526],78544983.0,20260812
Cacna2d1,1,19,0.5834244,1295040,0.45701984,511377,0.872106,698,0.44136626,56184,0.45884615,455193,"[72119649, 75042246, 78544953, 78544955, 78544957, 78544959, 78544963, 78544981, 78557705, 78557711, 79707516, 79707526, 80409515, 80409517, 80409519]",[79707760],78544983.0,20260812
Cacna2d1,1,20,0.6317922,1295040,0.51776266,511377,0.87817633,698,0.543054,60255,0.5143682,451122,"[72119649, 75042246, 78544957, 78544959, 78544961, 78557703, 78557705, 78557709, 78557711, 79707526, 79707532, 79707760, 80409517, 80409519, 80409521]",[79707516],78544983.0,20260812
Cacna2d1,1,21,0.54086757,1295040,0.41247314,511377,0.8343452,698,0.41188994,57234,0.41253918,454143,"[72119649, 78544953, 78544955, 78544957, 78544965, 78544979, 78557705, 78557707, 79707516, 79707530, 79707760, 80409515, 80409517, 80409519, 80409521]",[78544961],78544983.0,20260812
Cacna2d1,1,22,0.64595675,1295040,0.5524594,511377,0.90927863,698,0.5483576,63215,0.5526169,448162,"[75042246, 78544953, 78544957, 78544959, 78544961, 78544965, 78544979, 78544981, 78557707, 78557711, 79707516, 79707530, 79707760, 80409517, 80409521]",[78557703],78544983.0,20260812
Cacna2d1,1,23,0.7173015,1295040,0.62295604,511377,0.9074664,698,0.67118084,61115,0.6159297,450262,"[78544953, 78544957, 78544963, 78544965, 78544979, 78544981, 78557703, 78557705, 78557709, 78557711, 79707526, 79707530, 79707760, 80409515, 80409519]",[75042246],78544983.0,20260812
Cacna2d1,1,24,0.6420795,1295040,0.5454226,511377,0.8783933,698,0.52245975,63435,0.5487159,447942,"[72119649, 78544955, 78544957, 78544959, 78544961, 78544965, 78544979, 78544981, 78557703, 79707526, 79707530, 80409515, 80409517, 80409519, 80409521]",[78544953],78544983.0,20260812
Cacna2d1,1,25,0.57062054,1295040,0.4389522,511377,0.8412266,698,0.41870794,60388,0.44192484,450989,"[72119649, 78544953, 78544959, 78544963, 78544965, 78544979, 78544981, 78557705, 78557707, 78557709, 79707526, 79707530, 79707760, 80409515, 80409521]",[80409519],78544983.0,20260812
Cacna2d1,1,26,0.60710084,1295040,0.47971553,511377,0.86528677,698,0.47496146,59424,0.48041815,451953,"[72119649, 75042246, 78544953, 78544957, 78544959, 78544961, 78544979, 78544981, 78557705, 78557709, 78557711, 79707526, 79707760, 80409517, 80409521]",[79707530],78544983.0,20260812
Cacna2d1,1,27,0.7021759,1295040,0.6009115,511377,0.8825059,698,0.6485128,61115,0.5940662,450262,"[72119649, 78544953, 78544955, 78544957, 78544959, 78544965, 78544979, 78544981, 78557707, 78557709, 79707526, 79707532, 79707760, 80409519, 80409521]",[75042246],78544983.0,20260812
Cacna2d1,1,28,0.55779636,1295040,0.43216282,511377,0.8607681,698,0.43527937,57293,0.4317222,454084,"[75042246, 78544953, 78544959, 78544961, 78544963, 78544965, 78544979, 78557707, 79707516, 79707526, 79707530, 79707532, 80409517, 80409519, 80409521]",[78544955],78544983.0,20260812
Cacna2d1,1,29,0.6163987,1295040,0.4923076,511377,0.874817,698,0.48970467,59424,0.49271926,451953,"[78544957, 78544959, 78544961, 78544963, 78544965, 78544979, 78557703, 78557709, 78557711, 79707516, 79707526, 79707532, 79707760, 80409519, 80409521]",[79707530],78544983.0,20260812
Cacna2d1,1,30,0.5995905,1295040,0.48249465,511377,0.89210147,698,0.4888872,57469,0.48171458,453908,"[72119649, 78544955, 78544961, 78544963, 78544965, 78544981, 78557705, 78557707, 78557709, 79707516, 79707526, 79707530, 79707760, 80409517, 80409521]",[80409515],78544983.0,20260812
Cacna2d1,1,31,0.6166132,1295040,0.4944169,511377,0.8719932,698,0.49157724,59424,0.4948522,451953,"[72119649, 75042246, 78544953, 78544963, 78544981, 78557703, 78557705, 78557707, 78557709, 78557711, 79707516, 79707526, 79707532, 79707760, 80409515]",[79707530],78544983.0,20260812
Cacna2d1,1,32,0.59295857,1295040,0.47674403,511377,0.8732248,698,0.47531042,57314,0.47692236,454063,"[75042246, 78544957, 78544963, 78544965, 78544979, 78544981, 78557703, 78557705, 78557709, 79707526, 79707530, 79707760, 80409515, 80409519, 80409521]",[80409517],78544983.0,20260812
Cacna2d1,1,33,0.6364744,1295040,0.53548014,511377,0.9025053,698,0.52425706,56278,0.5368797,455099,"[72119649, 75042246, 78544955, 78544957, 78544959, 78544963, 78544981, 78557703, 78557709, 78557711, 79707516, 79707526, 79707530, 79707532, 79707760]",[78544965],78544983.0,20260812
Cacna2d1,1,34,0.56774366,1295040,0.43479228,511377,0.8333677,698,0.40607882,60388,0.43893862,450989,"[75042246, 78544953, 78544955, 78544957, 78544963, 78544979, 78557703, 78557705, 78557709, 78557711, 79707516, 79707530, 79707532, 79707760, 80409517]",[80409519],78544983.0,20260812
Cacna2d1,1,35,0.4302773,1295040,0.2755537,511377,0.4996139,698,0.27812704,55448,0.27522773,455929,"[72119649, 75042246, 78544953, 78544959, 78544961, 78544965, 78544979, 78557705, 78557707, 78557711, 79707516, 79707526, 79707530, 80409517, 80409521]",[78544957],78544983.0,20260812
Cacna2d1,1,36,0.53009194,1295040,0.39464706,511377,0.8066694,698,0.3941884,61233,0.39476222,450144,"[72119649, 75042246, 78544953, 78544955, 78544957, 78544959, 78544965, 78557705, 78557709, 78557711, 79707526, 79707530, 79707760, 80409515, 80409519]",[80409521],78544983.0,20260812
Cacna2d1,1,37,0.5749041,1295040,0.46040374,511377,0.873587,698,0.4775758,54287,0.45801282,457090,"[72119649, 75042246, 78544955, 78544961, 78544965, 78544979, 78544981, 78557703, 78557705, 78557709, 79707526, 79707760, 80409517, 80409519, 80409521]",[78544959],78544983.0,20260812
Cacna2d1,1,38,0.5701089,1295040,0.4430876,511377,0.8778422,698,0.43428314,55336,0.4441901,456041,"[72119649, 78544953, 78544959, 78544961, 78544963, 78544981, 78557707, 78557711, 79707516, 79707526, 79707530, 79707760, 80409517, 80409519, 80409521]",[78557709],78544983.0,20260812
Cacna2d1,1,39,0.6420777,1295040,0.5494728,511377,0.8775923,698,0.58246833,60865,0.5449878,450512,"[72119649, 75042246, 78544955, 78544957, 78544981, 78557703, 78557705, 78557707, 78557709, 79707516, 79707526, 79707532, 80409515, 80409517, 80409521]",[78544963],78544983.0,20260812
Cacna2d1,1,40,0.59002614,1295040,0.48146635,511377,0.8798195,698,0.48228246,58769,0.48132482,452608,"[75042246, 78544957, 78544959, 78544965, 78544981, 78557707, 78557709, 78557711, 79707516, 79707526, 79707532, 79707760, 80409517, 80409519, 80409521]",[78557705],78544983.0,20260812
Cacna2d1,1,41,0.51841974,1295040,0.3793282,511377,0.79485375,698,0.38367167,61233,0.37876588,450144,"[75042246, 78544953, 78544955, 78544957, 78544959, 78544963, 78544965, 78544979, 78557703, 78557705, 78557709, 79707516, 79707532, 79707760, 80409517]",[80409521],78544983.0,20260812
Cacna2d1,1,42,0.60253227,1295040,0.48568797,511377,0.89337003,698,0.48831856,57469,0.48536947,453908,"[75042246, 78544955, 78544957, 78544965, 78544981, 78557703, 78557705, 78557707, 78557709, 79707530, 79707532, 79707760, 80409517, 80409519, 80409521]",[80409515],78544983.0,20260812
Cacna2d1,1,43,0.6184795,1295040,0.49697235,511377,0.87619054,698,0.49331862,59424,0.49751443,451953,"[72119649, 78544955, 78544959, 78544963, 78544979, 78557703, 78557705, 78557709, 78557711, 79707516, 79707526, 79707532, 80409515, 80409517, 80409519]",[79707530],78544983.0,20260812
Cacna2d1,1,44,0.5945374,1295040,0.48973745,511377,0.8941394,698,0.49139374,58382,0.48960108,452995,"[75042246, 78544957, 78544959, 78544961, 78544963, 78544965, 78544981, 78557703, 78557707, 78557709, 79707516, 79707530, 79707532, 80409517, 80409519]",[78557711],78544983.0,20260812
Cacna2d1,1,45,0.6478121,1295040,0.5550401,511377,0.9139814,698,0.544901,63215,0.556175,448162,"[75042246, 78544953, 78544957, 78544959, 78544961, 78544965, 78544979, 78544981, 78557705, 78557711, 79707516, 79707526, 79707530, 79707760, 80409515]",[78557703],78544983.0,20260812
Cacna2d1,1,46,0.54353887,1295040,0.41612965,511377,0.8356987,698,0.41688025,57234,0.41601893,454143,"[72119649, 78544955, 78544957, 78544963, 78544965, 78544979, 78544981, 78557703, 78557705, 78557707, 79707516, 79707530, 79707760, 80409519, 80409521]",[78544961],78544983.0,20260812
Cacna2d1,1,47,0.63427085,1295040,0.5323856,511377,0.9006028,698,0.52303684,56278,0.533551,455099,"[75042246, 78544955, 78544959, 78544963, 78544981, 78557703, 78557709, 78557711, 79707516, 79707526, 79707532, 79707760, 80409515, 80409517, 80409521]",[78544965],78544983.0,20260812
Cacna2d1,1,48,0.531349,1295040,0.3958993,511377,0.8083298,698,0.40025187,61233,0.39533025,450144,"[72119649, 78544955, 78544957, 78544965, 78544981, 78557703, 78557705, 78557709, 78557711, 79707516, 79707530, 79707532, 80409515, 80409517, 80409519]",[80409521],78544983.0,20260812
Cacna2d1,1,49,0.5689206,1295040,0.45210272,511377,0.8709008,698,0.4654718,54287,0.4502002,457090,"[72119649, 75042246, 78544953, 78544957, 78544961, 78544979, 78544981, 78557703, 78557705, 78557707, 79707760, 80409515, 80409517, 80409519, 80409521]",[78544959],78544983.0,20260812
