animal_id,animal_name,experiment_id,sex,gene,age,plane_of_section,treatment,probe_orientation,sleep_state,pixel_size
72965028,05-3493,74272920,Male,Igfbp3,P56,coronal,ISH,2,Nothing,1.049
73502209,05-3563,74357583,Male,Sv2c,P56,coronal,ISH,2,Nothing,1.049
73633956,05-3709,74581372,Male,Ccdc37,P56,coronal,ISH,2,Nothing,1.049
74833339,06-0304,74988764,Male,Hist1h1a,P56,coronal,ISH,2,Nothing,1.049
74878475,06-0331,75080152,Male,Gnrh1,P56,coronal,ISH,2,Nothing,1.049
74899350,06-0346,75144618,Male,Tspan2,P56,coronal,ISH,2,Nothing,1.049
75023622,06-0384,75146002,Male,Psmd5,P56,coronal,ISH,2,Nothing,1.049
75078647,06-0453,75749413,Male,Abcb6,P56,coronal,ISH,2,Nothing,1.049
75195198,06-0491,75774672,Male,Ptk2,P56,coronal,ISH,2,Nothing,1.049
77232691,07-0005,77280333,Male,Olfml3,P56,coronal,ISH,2,Nothing,1.049
77281682,07-0023,77371821,Male,Sstr2,P56,coronal,ISH,2,Nothing,1.049
77281698,07-0027,77413692,Male,Il4ra,P56,coronal,ISH,2,Nothing,1.049
77529362,07-0118,77869087,Male,Ldb3,P56,coronal,ISH,2,Nothing,1.049
77561820,07-0122,77887858,Male,Psg16,P56,coronal,ISH,2,Nothing,1.049
77561824,07-0123,77887878,Male,Ano6,P56,coronal,ISH,2,Nothing,1.049
78087613,321-0714,78592046,Male,Nnat,P56,coronal,ISH,2,Nothing,1.049
79338773,335-1120,79556640,Male,Cuedc2,P56,coronal,ISH,2,Nothing,1.049
79355626,335-1135,79591579,Male,Plcxd2,P56,coronal,ISH,2,Nothing,1.049
78087654,321-0717,79707532,Male,Cacna2d1,P56,coronal,ISH,2,Nothing,1.049
77415337,321-0165,79746118,Male,Rorb,P56,coronal,ISH,2,Nothing,1.049
78087662,321-0719,79748224,Male,Rorb,P56,coronal,ISH,2,Nothing,1.049
79398731,335-1185,79907936,Male,Cxcl12,P56,coronal,ISH,2,Nothing,1.049
71120611,05-2877,71924387,Male,Kcnip4,P56,coronal,ISH,2,Nothing,1.049
71227922,05-2970,72109489,Male,Ace,P56,coronal,ISH,2,Nothing,1.049
77385531,321-0083,78557705,Male,Cacna2d1,P56,coronal,ISH,2,Nothing,1.049
77561820,07-0122,77863999,Male,Nothing,P56,coronal,NISSL,Nothing,Nothing,1.049
77448587,321-0066,77790641,Female,Cckbr,P56,coronal,ISH,2,Nothing,1.049
711110,310-1485,112194721,Male,Myc,P56,coronal,ISH,2,Nothing,0.9887
710949,310-1481,112649906,Male,Hnrnph2,P56,coronal,ISH,2,Nothing,0.9982
79355511,335-1130,79583813,Male,Fam114a2,P56,coronal,ISH,2,Nothing,1.049
104496,04-0351,70917506,Male,Nothing,P56,coronal,NISSL,Nothing,Nothing,1.049
77238047,07-0013,77332735,Male,Prkar2a,P56,coronal,ISH,2,Nothing,1.049
73634011,05-3718,74581442,Male,Palmd,P56,coronal,ISH,2,Nothing,1.049
70101598,05-2128,70739365,Male,Nothing,P56,coronal,NISSL,Nothing,Nothing,1.049
73652038,05-3730,74533714,Male,Nothing,P56,coronal,NISSL,Nothing,Nothing,1.049
69837595,05-1844,70428518,Male,Nothing,P56,coronal,NISSL,Nothing,Nothing,1.049
77207553,311-0555,77564768,Male,Nothing,P56,coronal,NISSL,Nothing,W,1.049
74899389,06-0343,75080646,Male,C530008M17Rik,P56,coronal,ISH,2,Nothing,1.049
74865176,06-0324,75043159,Male,Rb1cc1,P56,coronal,ISH,2,Nothing,1.049
71444837,05-3132,73545162,Male,Nothing,P56,coronal,NISSL,Nothing,Nothing,1.049
71250772,05-2984,72128775,Male,Cemip,P56,coronal,ISH,2,Nothing,1.049
77378348,311-0661,78099454,Male,Arr3,P56,coronal,ISH,2,SD,1.049
75078577,06-0445,75651228,Male,Slc27a1,P56,coronal,ISH,2,Nothing,1.049
79338761,335-1117,79556605,Male,Dkk3,P56,coronal,ISH,2,Nothing,1.049
702631,2122,94,Male,Anp32a,P56,coronal,ISH,2,Nothing,1.63
72134986,05-3389,74047444,Male,Gda,P56,coronal,ISH,2,Nothing,1.049
74741201,06-0282,74988275,Male,Alpk2,P56,coronal,ISH,2,Nothing,1.049
70516701,05-2443,71358663,Male,Syt16,P56,coronal,ISH,2,Nothing,1.049
74071281,06-0065,74658130,Male,Cs,P56,coronal,ISH,2,Nothing,1.049
72010441,05-3373,73992943,Male,Ablim3,P56,coronal,ISH,2,Nothing,1.049
69619376,05-1618,70176685,Male,Nothing,P56,coronal,NISSL,Nothing,Nothing,1.049
702524,1947,1528,Male,Rara,P56,coronal,ISH,2,Nothing,1.63
71167204,05-2897,72007564,Male,Gpr171,P56,coronal,ISH,2,Nothing,1.049
77294080,07-0037,77489866,Male,Nothing,P56,coronal,NISSL,Nothing,Nothing,1.049
77632931,07-0170,77925007,Male,Aldh5a1,P56,coronal,ISH,2,Nothing,1.049
702821,2384,1910,Male,Pdgfd,P56,coronal,ISH,2,Nothing,1.63
83999,04-0244,356855,Male,Zfp790,P56,coronal,ISH,2,Nothing,1.049
